CNS,Unicode,國字,注音,注音數量
1-2121,3000,,,0
1-2122,FF0C,，,,0
1-2123,3001,、,,0
1-2124,3002,。,,0
1-2125,FF0E,．,,0
1-2126,2027,‧,,0
1-2127,FF1B,；,,0
1-2128,FF1A,：,,0
1-2129,FF1F,？,,0
1-212A,FF01,！,,0
1-212B,FE30,︰,,0
1-212C,2026,…,,0
1-212D,2025,‥,,0
1-212E,FE50,﹐,,0
1-212F,FE51,﹑,,0
1-2130,FE52,﹒,,0
1-2131,00B7,·,,0
1-2132,FE54,﹔,,0
1-2133,FE55,﹕,,0
1-2134,FE56,﹖,,0
1-2135,FE57,﹗,,0
1-2136,FF5C,｜,,0
1-2137,2015,―,,0
1-2138,FE31,︱,,0
1-2139,2014,—,,0
1-213A,FE33,︳,,0
1-213B,2574,╴,,0
1-213C,FE34,︴,,0
1-213D,FE4F,﹏,,0
1-213E,FF08,（,,0
1-213F,FF09,）,,0
1-2140,FE35,︵,,0
1-2141,FE36,︶,,0
1-2142,FF5B,｛,,0
1-2143,FF5D,｝,,0
1-2144,FE37,︷,,0
1-2145,FE38,︸,,0
1-2146,3014,〔,,0
1-2147,3015,〕,,0
1-2148,FE39,︹,,0
1-2149,FE3A,︺,,0
1-214A,3010,【,,0
1-214B,3011,】,,0
1-214C,FE3B,︻,,0
1-214D,FE3C,︼,,0
1-214E,300A,《,,0
1-214F,300B,》,,0
1-2150,FE3D,︽,,0
1-2151,FE3E,︾,,0
1-2152,3008,〈,,0
1-2153,3009,〉,,0
1-2154,FE3F,︿,,0
1-2155,FE40,﹀,,0
1-2156,300C,「,,0
1-2157,300D,」,,0
1-2158,FE41,﹁,,0
1-2159,FE42,﹂,,0
1-215A,300E,『,,0
1-215B,300F,』,,0
1-215C,FE43,﹃,,0
1-215D,FE44,﹄,,0
1-215E,FE59,﹙,,0
1-215F,FE5A,﹚,,0
1-2160,FE5B,﹛,,0
1-2161,FE5C,﹜,,0
1-2162,FE5D,﹝,,0
1-2163,FE5E,﹞,,0
1-2164,2018,‘,,0
1-2165,2019,’,,0
1-2166,201C,“,,0
1-2167,201D,”,,0
1-2168,301D,〝,,0
1-2169,301E,〞,,0
1-216A,2035,‵,,0
1-216B,2032,′,,0
1-216C,FF03,＃,,0
1-216D,FF06,＆,,0
1-216E,FF0A,＊,,0
1-216F,203B,※,,0
1-2170,00A7,§,,0
1-2171,3003,〃,,0
1-2172,25CB,○,,0
1-2173,25CF,●,,0
1-2174,25B3,△,,0
1-2175,25B2,▲,,0
1-2176,25CE,◎,,0
1-2177,2606,☆,,0
1-2178,2605,★,,0
1-2179,25C7,◇,,0
1-217A,25C6,◆,,0
1-217B,25A1,□,,0
1-217C,25A0,■,,0
1-217D,25BD,▽,,0
1-217E,25BC,▼,,0
1-2221,32A3,㊣,,0
1-2222,2105,℅,,0
1-2223,203E,‾,,0
1-2224,FFE3,￣,,0
1-2225,FF3F,＿,,0
1-2226,02CD,ˍ,,0
1-2227,FE49,﹉,,0
1-2228,FE4A,﹊,,0
1-2229,FE4D,﹍,,0
1-222A,FE4E,﹎,,0
1-222B,FE4B,﹋,,0
1-222C,FE4C,﹌,,0
1-222D,FE5F,﹟,,0
1-222E,FE60,﹠,,0
1-222F,FE61,﹡,,0
1-2230,FF0B,＋,,0
1-2231,FF0D,－,,0
1-2232,00D7,×,,0
1-2233,00F7,÷,,0
1-2234,00B1,±,,0
1-2235,221A,√,,0
1-2236,FF1C,＜,,0
1-2237,FF1E,＞,,0
1-2238,FF1D,＝,,0
1-2239,2266,≦,,0
1-223A,2267,≧,,0
1-223B,2260,≠,,0
1-223C,221E,∞,,0
1-223D,2252,≒,,0
1-223E,2261,≡,,0
1-223F,FE62,﹢,,0
1-2240,FE63,﹣,,0
1-2241,FE64,﹤,,0
1-2242,FE65,﹥,,0
1-2243,FE66,﹦,,0
1-2244,FF5E,～,,0
1-2245,2229,∩,,0
1-2246,222A,∪,,0
1-2247,22A5,⊥,,0
1-2248,2220,∠,,0
1-2249,221F,∟,,0
1-224A,22BF,⊿,,0
1-224B,33D2,㏒,,0
1-224C,33D1,㏑,,0
1-224D,222B,∫,,0
1-224E,222E,∮,,0
1-224F,2235,∵,,0
1-2250,2234,∴,,0
1-2251,2640,♀,,0
1-2252,2642,♂,,0
1-2253,2295,⊕,,0
1-2254,2299,⊙,,0
1-2255,2191,↑,,0
1-2256,2193,↓,,0
1-2257,2190,←,,0
1-2258,2192,→,,0
1-2259,2196,↖,,0
1-225A,2197,↗,,0
1-225B,2199,↙,,0
1-225C,2198,↘,,0
1-225D,2225,∥,,0
1-225E,2223,∣,,0
1-225F,FF0F,／,,0
1-2260,FF3C,＼,,0
1-2261,2215,∕,,0
1-2262,FE68,﹨,,0
1-2263,FF04,＄,,0
1-2264,FFE5,￥,,0
1-2265,3012,〒,,0
1-2266,FFE0,￠,,0
1-2267,FFE1,￡,,0
1-2268,FF05,％,,0
1-2269,FF20,＠,,0
1-226A,2103,℃,,0
1-226B,2109,℉,,0
1-226C,FE69,﹩,,0
1-226D,FE6A,﹪,,0
1-226E,FE6B,﹫,,0
1-226F,33D5,㏕,,0
1-2270,339C,㎜,,0
1-2271,339D,㎝,,0
1-2272,339E,㎞,,0
1-2273,33CE,㏎,,0
1-2274,33A1,㎡,,0
1-2275,338E,㎎,,0
1-2276,338F,㎏,,0
1-2277,33C4,㏄,,0
1-2278,00B0,°,,0
1-2279,5159,兙,,0
1-227A,515B,兛,,0
1-227B,515E,兞,,0
1-227C,515D,兝,,0
1-227D,5161,兡,,0
1-227E,5163,兣,,0
1-2321,5.50E+08,嗧,,0
1-2322,7.40E+10,瓩,,0
1-2323,7CCE,糎,,0
1-2324,2581,▁,,0
1-2325,2582,▂,,0
1-2326,2583,▃,,0
1-2327,2584,▄,,0
1-2328,2585,▅,,0
1-2329,2586,▆,,0
1-232A,2587,▇,,0
1-232B,2588,█,,0
1-232C,258F,▏,,0
1-232D,258E,▎,,0
1-232E,258D,▍,,0
1-232F,258C,▌,,0
1-2330,258B,▋,,0
1-2331,258A,▊,,0
1-2332,2589,▉,,0
1-2333,253C,┼,,0
1-2334,2534,┴,,0
1-2335,252C,┬,,0
1-2336,2524,┤,,0
1-2337,251C,├,,0
1-2338,2594,▔,,0
1-2339,2500,─,,0
1-233A,2502,│,,0
1-233B,2595,▕,,0
1-233C,250C,┌,,0
1-233D,2510,┐,,0
1-233E,2514,└,,0
1-233F,2518,┘,,0
1-2340,256D,╭,,0
1-2341,256E,╮,,0
1-2342,2570,╰,,0
1-2343,256F,╯,,0
1-2344,2550,═,,0
1-2345,255E,╞,,0
1-2346,256A,╪,,0
1-2347,2561,╡,,0
1-2348,2.50E+03,◢,,0
1-2349,2.50E+04,◣,,0
1-234A,2.50E+06,◥,,0
1-234B,2.50E+05,◤,,0
1-234C,2571,╱,,0
1-234D,2572,╲,,0
1-234E,2573,╳,,0
1-2421,FF10,0,,0
1-2422,FF11,1,,0
1-2423,FF12,2,,0
1-2424,FF13,3,,0
1-2425,FF14,4,,0
1-2426,FF15,5,,0
1-2427,FF16,6,,0
1-2428,FF17,7,,0
1-2429,FF18,8,,0
1-242A,FF19,9,,0
1-242B,2160,Ⅰ,,0
1-242C,2161,Ⅱ,,0
1-242D,2162,Ⅲ,,0
1-242E,2163,Ⅳ,,0
1-242F,2164,Ⅴ,,0
1-2430,2165,Ⅵ,,0
1-2431,2166,Ⅶ,,0
1-2432,2167,Ⅷ,,0
1-2433,2168,Ⅸ,,0
1-2434,2169,Ⅹ,,0
1-2435,3021,〡,,0
1-2436,3022,〢,,0
1-2437,3023,〣,,0
1-2438,3024,〤,,0
1-2439,3025,〥,,0
1-243A,3026,〦,,0
1-243B,3027,〧,,0
1-243C,3028,〨,,0
1-243D,3029,〩,,0
1-243E,3038,〸,,0
1-243F,3039,〹,,0
1-2440,303A,〺,,0
1-2441,FF21,Ａ,,0
1-2442,FF22,Ｂ,,0
1-2443,FF23,Ｃ,,0
1-2444,FF24,Ｄ,,0
1-2445,FF25,Ｅ,,0
1-2446,FF26,Ｆ,,0
1-2447,FF27,Ｇ,,0
1-2448,FF28,Ｈ,,0
1-2449,FF29,Ｉ,,0
1-244A,FF2A,Ｊ,,0
1-244B,FF2B,Ｋ,,0
1-244C,FF2C,Ｌ,,0
1-244D,FF2D,Ｍ,,0
1-244E,FF2E,Ｎ,,0
1-244F,FF2F,Ｏ,,0
1-2450,FF30,Ｐ,,0
1-2451,FF31,Ｑ,,0
1-2452,FF32,Ｒ,,0
1-2453,FF33,Ｓ,,0
1-2454,FF34,Ｔ,,0
1-2455,FF35,Ｕ,,0
1-2456,FF36,Ｖ,,0
1-2457,FF37,Ｗ,,0
1-2458,FF38,Ｘ,,0
1-2459,FF39,Ｙ,,0
1-245A,FF3A,Ｚ,,0
1-245B,FF41,ａ,,0
1-245C,FF42,ｂ,,0
1-245D,FF43,ｃ,,0
1-245E,FF44,ｄ,,0
1-245F,FF45,ｅ,,0
1-2460,FF46,ｆ,,0
1-2461,FF47,ｇ,,0
1-2462,FF48,ｈ,,0
1-2463,FF49,ｉ,,0
1-2464,FF4A,ｊ,,0
1-2465,FF4B,ｋ,,0
1-2466,FF4C,ｌ,,0
1-2467,FF4D,ｍ,,0
1-2468,FF4E,ｎ,,0
1-2469,FF4F,ｏ,,0
1-246A,FF50,ｐ,,0
1-246B,FF51,ｑ,,0
1-246C,FF52,ｒ,,0
1-246D,FF53,ｓ,,0
1-246E,FF54,ｔ,,0
1-246F,FF55,ｕ,,0
1-2470,FF56,ｖ,,0
1-2471,FF57,ｗ,,0
1-2472,FF58,ｘ,,0
1-2473,FF59,ｙ,,0
1-2474,FF5A,ｚ,,0
1-2475,391,Α,,0
1-2476,392,Β,,0
1-2477,393,Γ,,0
1-2478,394,Δ,,0
1-2479,395,Ε,,0
1-247A,396,Ζ,,0
1-247B,397,Η,,0
1-247C,398,Θ,,0
1-247D,399,Ι,,0
1-247E,039A,Κ,,0
1-2521,039B,Λ,,0
1-2522,039C,Μ,,0
1-2523,039D,Ν,,0
1-2524,039E,Ξ,,0
1-2525,039F,Ο,,0
1-2526,03A0,Π,,0
1-2527,03A1,Ρ,,0
1-2528,03A3,Σ,,0
1-2529,03A4,Τ,,0
1-252A,03A5,Υ,,0
1-252B,03A6,Φ,,0
1-252C,03A7,Χ,,0
1-252D,03A8,Ψ,,0
1-252E,03A9,Ω,,0
1-252F,03B1,α,,0
1-2530,03B2,β,,0
1-2531,03B3,γ,,0
1-2532,03B4,δ,,0
1-2533,03B5,ε,,0
1-2534,03B6,ζ,,0
1-2535,03B7,η,,0
1-2536,03B8,θ,,0
1-2537,03B9,ι,,0
1-2538,03BA,κ,,0
1-2539,03BB,λ,,0
1-253A,03BC,μ,,0
1-253B,03BD,ν,,0
1-253C,03BE,ξ,,0
1-253D,03BF,ο,,0
1-253E,03C0,π,,0
1-253F,03C1,ρ,,0
1-2540,03C3,σ,,0
1-2541,03C4,τ,,0
1-2542,03C5,υ,,0
1-2543,03C6,φ,,0
1-2544,03C7,χ,,0
1-2545,03C8,ψ,,0
1-2546,03C9,ω,,0
1-2547,3105,ㄅ,,0
1-2548,3106,ㄆ,,0
1-2549,3107,ㄇ,,0
1-254A,3108,ㄈ,,0
1-254B,3109,ㄉ,,0
1-254C,310A,ㄊ,,0
1-254D,310B,ㄋ,,0
1-254E,310C,ㄌ,,0
1-254F,310D,ㄍ,,0
1-2550,310E,ㄎ,,0
1-2551,310F,ㄏ,,0
1-2552,3110,ㄐ,,0
1-2553,3111,ㄑ,,0
1-2554,3112,ㄒ,,0
1-2555,3113,ㄓ,,0
1-2556,3114,ㄔ,,0
1-2557,3115,ㄕ,,0
1-2558,3116,ㄖ,,0
1-2559,3117,ㄗ,,0
1-255A,3118,ㄘ,,0
1-255B,3119,ㄙ,,0
1-255C,311A,ㄚ,,0
1-255D,311B,ㄛ,,0
1-255E,311C,ㄜ,,0
1-255F,311D,ㄝ,,0
1-2560,311E,ㄞ,,0
1-2561,311F,ㄟ,,0
1-2562,3120,ㄠ,,0
1-2563,3121,ㄡ,,0
1-2564,3122,ㄢ,,0
1-2565,3123,ㄣ,,0
1-2566,3124,ㄤ,,0
1-2567,3125,ㄥ,,0
1-2568,3126,ㄦ,,0
1-2569,3127,ㄧ,,0
1-256A,3128,ㄨ,,0
1-256B,3129,ㄩ,,0
1-256C,02D9,˙,,0
1-256D,02C9,ˉ,,0
1-256E,02CA,ˊ,,0
1-256F,02C7,ˇ,,0
1-2570,02CB,ˋ,,0
1-2571,312A,ㄪ,,0
1-2572,312B,ㄫ,,0
1-2573,312C,ㄬ,,0
1-2574,312D,ㄭ,,0
1-2621,2460,①,,0
1-2622,2461,②,,0
1-2623,2462,③,,0
1-2624,2463,④,,0
1-2625,2464,⑤,,0
1-2626,2465,⑥,,0
1-2627,2466,⑦,,0
1-2628,2467,⑧,,0
1-2629,2468,⑨,,0
1-262A,2469,⑩,,0
1-262B,2474,⑴,,0
1-262C,2475,⑵,,0
1-262D,2476,⑶,,0
1-262E,2477,⑷,,0
1-262F,2478,⑸,,0
1-2630,2479,⑹,,0
1-2631,247A,⑺,,0
1-2632,247B,⑻,,0
1-2633,247C,⑼,,0
1-2634,247D,⑽,,0
1-2635,2170,ⅰ,,0
1-2636,2171,ⅱ,,0
1-2637,2172,ⅲ,,0
1-2638,2173,ⅳ,,0
1-2639,2174,ⅴ,,0
1-263A,2175,ⅵ,,0
1-263B,2176,ⅶ,,0
1-263C,2177,ⅷ,,0
1-263D,2178,ⅸ,,0
1-263E,2179,ⅹ,,0
1-2650,31D0,㇐,,0
1-2652,31D1,㇑,,0
1-2653,31D2,㇒,,0
1-2654,31D3,㇓,,0
1-2655,31D4,㇔,,0
1-2657,31CF,㇏,,0
1-2658,31C0,㇀,,0
1-2659,31D5,㇕,,0
1-265A,31D6,㇖,,0
1-265B,31C7,㇇,,0
1-265C,31D7,㇗,,0
1-265D,31C4,㇄,,0
1-265E,31D8,㇘,,0
1-265F,31D9,㇙,,0
1-2660,31DA,㇚,,0
1-2661,31C3,㇃,,0
1-2662,31C2,㇂,,0
1-2663,31C1,㇁,,0
1-2664,31DB,㇛,,0
1-2666,31DC,㇜,,0
1-2667,31DD,㇝,,0
1-2668,31C5,㇅,,0
1-2669,31CD,㇍,,0
1-266A,31C6,㇆,,0
1-266B,31C8,㇈,,0
1-266C,31DE,㇞,,0
1-266E,31DF,㇟,,0
1-266F,31CE,㇎,,0
1-2670,3.10E+01,㇠,,0
1-2671,31C9,㇉,,0
1-2672,3.10E+02,㇡,,0
1-2721,2F00,⼀,,0
1-2722,2F01,⼁,,0
1-2723,2F02,⼂,,0
1-2724,2F03,⼃,,0
1-2725,2F04,⼄,,0
1-2726,2F05,⼅,,0
1-2727,2F06,⼆,,0
1-2728,4EA0,亠,,0
1-2729,2F08,⼈,,0
1-272A,2F09,⼉,,0
1-272B,2F0A,⼊,,0
1-272C,2F0B,⼋,,0
1-272D,2F0C,⼌,,0
1-272E,2F0D,⼍,,0
1-272F,51AB,冫,,0
1-2730,2F0F,⼏,,0
1-2731,2F10,⼐,,0
1-2732,2F11,⼑,,0
1-2733,2F12,⼒,,0
1-2734,52F9,勹,,0
1-2735,2F14,⼔,,0
1-2736,2F15,⼕,,0
1-2737,2F16,⼖,,0
1-2738,2F17,⼗,,0
1-2739,2F18,⼘,,0
1-273A,2F19,⼙,,0
1-273B,2F1A,⼚,,0
1-273C,2F1B,⼛,,0
1-273D,2F1C,⼜,,0
1-273E,2F1D,⼝,,0
1-273F,2F1E,⼞,,0
1-2740,2F1F,⼟,,0
1-2741,2F20,⼠,,0
1-2742,2F22,⼢,,0
1-2743,2F23,⼣,,0
1-2744,2F24,⼤,,0
1-2745,2F25,⼥,,0
1-2746,2F26,⼦,,0
1-2747,2F27,⼧,,0
1-2748,2F28,⼨,,0
1-2749,2F29,⼩,,0
1-274A,2F2A,⼪,,0
1-274B,2F2B,⼫,,0
1-274C,2F2C,⼬,,0
1-274D,2F2D,⼭,,0
1-274E,2F2E,⼮,,0
1-274F,2F2F,⼯,,0
1-2750,2F30,⼰,,0
1-2751,2F31,⼱,,0
1-2752,2F32,⼲,,0
1-2753,2F33,⼳,,0
1-2754,2F34,⼴,,0
1-2755,2F35,⼵,,0
1-2756,2F36,⼶,,0
1-2757,2F37,⼷,,0
1-2758,2F38,⼸,,0
1-2759,2F39,⼹,,0
1-275A,2F3A,⼺,,0
1-275B,2F3B,⼻,,0
1-275C,2F3C,⼼,,0
1-275D,2F3D,⼽,,0
1-275E,2F3E,⼾,,0
1-275F,2F3F,⼿,,0
1-2760,2F40,⽀,,0
1-2761,2F41,⽁,,0
1-2762,2F42,⽂,,0
1-2763,2F43,⽃,,0
1-2764,2F44,⽄,,0
1-2765,2F45,⽅,,0
1-2766,2F46,⽆,,0
1-2767,2F47,⽇,,0
1-2768,2F48,⽈,,0
1-2769,2F49,⽉,,0
1-276A,2F4A,⽊,,0
1-276B,2F4B,⽋,,0
1-276C,2F4C,⽌,,0
1-276D,2F4D,⽍,,0
1-276E,2F4E,⽎,,0
1-276F,2F4F,⽏,,0
1-2770,2F50,⽐,,0
1-2771,2F51,⽑,,0
1-2772,2F52,⽒,,0
1-2773,2F53,⽓,,0
1-2774,2F54,⽔,,0
1-2775,2F55,⽕,,0
1-2776,2F56,⽖,,0
1-2777,2F57,⽗,,0
1-2778,2F58,⽘,,0
1-2779,2F59,⽙,,0
1-277A,2F5A,⽚,,0
1-277B,2F5B,⽛,,0
1-277C,2F5C,⽜,,0
1-277D,2F5D,⽝,,0
1-277E,2F5E,⽞,,0
1-2821,2F5F,⽟,,0
1-2822,2F60,⽠,,0
1-2823,2F61,⽡,,0
1-2824,2F62,⽢,,0
1-2825,2F63,⽣,,0
1-2826,2F64,⽤,,0
